Country Region,EC financing,Title,Action location,Organisation,Total cost in Euro,Contract Nr,Theme,DAC code,Duration,Organisation nationality,Amount in Euro
Germany,"
						
						    90 %
					","Programme de Promotion des Meilleures Pratiques agricoles, nutritionnelles et sanitaires dans les Cercles de Nioro et de Diéma.","L'action s'adresse aux enfants de 0-5 ans, les mères allaitantes et les femmes enceintes, les relais communautaires, les Associations de Santé Communautaires (ASACO) et les comités de gestion scolaire, les productrices et producteurs organisés en associations, les comités de gestion des banques de céréales et les conseils communaux. Le projet intervient au Mali, dans la région de Kayes, dans les 18 (sur 31) communes les plus exposées à l'insécurité alimentaire des cercles de Nioro (Diaye Coura, Gavinané, Youri, Guétéma, Gadiaba Kadiel, Simbi, Nioro urbaine, Nioro Tougouné, Diarrah, Yéréré,  Gogui)
et Diéma (communes de Gomitradougou, Dioumara-Koussata,  Dianguirdé, Grouméra, Béma, Guédébiné, Fassou Débé)
",DEUTSCHE WELTHUNGERHILFE EV,"
						     1,099,960
					",147209,Food aid/Food security programmes,52010,48 months,Mali,"
						      989,964
					"
Germany,"
						
						    80 %
					",Programme de sécurité alimentaire dans la province de Cankuzo au Nord-Est du Burundi,,WORLD VISION DEUTSCHLAND E.V.,"
						      847,562
					",146461,Food aid/Food security programmes,52010,30 months,Burundi,"
						      677,711
					"
Germany,"
						
						    75 %
					","Programme d¿agroforesterie et du renforcement organisationnel des petits producteurs des Palmes et de Marigot, Haïti","Département du Sud-est
Commune de Palmes et Marigot",DEUTSCHE WELTHUNGERHILFE EV,"
						      961,754
					",143808,Agricultural development,31120,36 months,All Countries,"
						      721,315
					"
Germany,"
						
						    90 %
					",Projet d'Appui à la sécurité alimentaire au Sahel occidental,"l'action s'adresse aux associations/groupements d'hommes et/ou femmes porteurs d'initiatives dans le domaine de la sécurité alimentaire et aux comnseils communaus des communes en difficulté alimentaire et des communes en difficulté économique. La zone d'intervention du projet est au Mali, région de Kayes, cercles de Nara (Allahina, Dabo, Dilly, Dogofry, Fallou, Gueneibé, Guiré, Koronga, Nara, Niamana et Ouagadou) et Yélimané (Diafounou-Gory, Guidimé, Kirané,Kremis, Marekaffo, Soumpou, Fanga, Toya et Gory)",DEUTSCHE WELTHUNGERHILFE EV,"
						      542,830
					",137797,,52000,33 months,Mali,"
						      488,547
					"
Germany,"
						
						    90 %
					",Projet d'appui à la sécurité alimentaire par la fertilité des sols dans les régions du centre nord et du plateau central au Burkina Faso PASAF,Régions du Centre Nord (provinces du Sanmatenga et du Bam) et du Plateau central (Province de Ganzourgou et de Oubritenga) ¿ Kongoussi.,DEUTSCHE WELTHUNGERHILFE EV,"
						     1,999,860
					",144084,Food aid/Food security programmes,52010,42 months,Burkina Faso,"
						     1,799,874
					"
Germany,"
						
						    75 %
					","Projet sécurité alimentaire, eau et hygiène pour Ten-Tiètaa  
","Région du Sud Ouest - Province du loba ¿ communes de Dissin (Baagane, Benvar, Bouletew, Dadounè, Dakolé, Dissin, Done, Gora, Korgnègane, Mou, Saala, Tansebla, Tansien, Tanpouor, Kpopèri) et de Ouessa (Ouessa, Kolinka, Bekoteg, Djanlé, Langlé) 20 villages",DEUTSCHE WELTHUNGERHILFE EV,"
						      858,057
					",134365,Food aid/Food security programmes,52010,36 months,Burkina Faso,"
						      643,543
					"
Germany,"
						
						    75 %
					","Quality Primary Education for Children from Extreme Poor Households on Remote River Islands in North-West Bangladesh 
","Rangpur district, Gaibandha district and Dhaka district of Bangladesh",NETZ PARTNERSCHAFT FUR ENTWICKLUNGUND GERECHTIGKEIT EV,"
						      999,994
					",134196,Primary education,11220,60 months,Bangladesh,"
						      749,970
					"
Germany,"
						
						    47 %
					",Reloading Images Damascus - Work in Progress 2008,"Damascus, Syria",NEWYORKRIOTOKYO EV,"
						       79,853
					",146664,Culture and recreation,16061,30 months,Mediterranean Region,"
						       37,873
					"
Germany,"
						
						    75 %
					","Renforcer les droits de l'enfant et réduire la pauvreté infantile en Haïti: un modèle exemplaire de coopération transversale entre partenaires en milieux rural et urbain 
",Port-au-Prince,KINDERNOTHILFE EV,"
						      959,205
					",134940,Human rights,15160,40 months,Haiti,"
						      719,403
					"
Germany,"
						
						    95 %
					","Repatriation, Reintegration and vocational training for Afghan minors and destitute families from Iran","Location(s) in Iran: Tehran, Qom, Mashad / in Afghanistan: Herat Province and all home-villages and towns of origin of the repatriating returnees:

Direct Beneficiaries: 1000 individuals
Idirect Beneficiaries: 10,000 Individuals",HELP - HILFE ZUR SELBSTHILFE EV,"
						      842,071
					",146970,Vocational training,11330,16 months,Afghanistan,"
						      800,000
					"
Germany,"
						
						    69 %
					","Revitalising sustainable rural livelihoods among small and marginal dryland farmers and landless poor of Anantapur District, India","Anantpur District, Andhra Pradesh, India",EVANGELISCHE ZENTRALSTELLE FUR ENTWICKLUNGSHILFE  E.V.,"
						     1,086,000
					",145207,Rural development,43040,60 months,India,"
						      749,000
					"
Germany,"
						
						    95 %
					",SFA 2004 - Banana Commercialization and Agricultural Diversification ,,HOCHSCHULE FUR ANGEWANDTE WISSENSCHAFTEN HAMBURG,"
						     1,127,430
					",145891,Agricultural education/training,31181,36 months,Saint Lucia,"
						     1,071,059
					"
Germany,"
						
						    95 %
					",SFA 2004-Economic Diversification and Private Sector Development,"The activites of the Consultant will be concentrated in Castries, St. Lucia and several rural communities.",SEQUA GGMBH,"
						     3,138,330
					",145953,Small and medium-sized enterprises (SME) development,32130,36 months,Saint Lucia,"
						     2,981,414
					"
Germany,"
						
						    75 %
					",Safe Passage: Making the mobility safe by reducing the vulnerability and impact of HIV and AIDS - Nepal,"Far Western Nepal, Kailali (Lowland Terai), Doti (Middle Hills) , Dadeldhura (Middle Hills).
Target Groups are Mobility-affected people (mobile men and male youth, their spouses and families); people living with and affected by HIV and AIDS (PLHA) ; women¿s groups; poor, vulnerable and socially excluded (PVSE) women; local community based civil society organizations (CBO), networks (PLHA) and unions (transportation); peer educators and supporters (PES); health service providers and volunteers; local NGO project partners. ",CARE DEUTSCHLAND-LUXEMBURG EV,"
						     1,000,000
					",133554,STD control including HIV/AIDS,13040,60 months,Nepal,"
						      749,975
					"
Germany,"
						
						    75 %
					","Socio-economic empowerment for marginalized farmer and landless families through integrated watershed development, Dindigul, India","Dindugal District, Tamilnadu, India",KARL KUBEL STIFTUNG FUR KIND UND FAMILIE,"
						      655,056
					",133556,Rural development,43040,60 months,India,"
						      491,292
					"
Germany,"
						
						    74 %
					",Suply Change Management and Post-Harvest Technology for Vegetables and Fruit (DOCUMAP),"Asia: Vietnam (Hanoi), Indonesia (Aceh) and China (Beijing)
Europe: Sweden, Germany, Denmark and Belgium

Final beneficiaries: staff in participating universities and their students",HUMBOLDT-UNIVERSITAT ZU BERLIN,"
						      892,107
					",142931,Higher education,11420,36 months,Vietnam,"
						      659,548
					"
Germany,"
						
						    85 %
					","Sustainable food security, livestock development, seed multiplication and agro-forestry","Zimbabwe; Provinces ¿ Manicaland & Midlands; Districts ¿ Makoni, Lower Gweru & Kwekwe",HELP - HILFE ZUR SELBSTHILFE EV,"
						     1,812,040
					",137921,Livestock,31163,36 months,Zimbabwe,"
						     1,540,234
					"
Germany,"
						
						    68 %
					",Sustained Poverty Reduction Through Agricultural development (SPADE),"Target group includes poor and ultra poor herder households

Direct Beneficiaries:Approx: 800 herder families comprising about 3,600 family members;

Indirect Beneficiaries: The action will target 10 Soums comprising a total of approximately 25,000 households, representing about 100,000 family members. An additional of 100 Soum government officials will also indirectly benefit from the action.

The location of the project activities is as follows: Mongolia, Zavkhan Aimag

The final beneficiaries will be rural households and herder families.
",ADRA ADVENTISTISCHE ENTWICKLUNGS-UND KATASTROPHENHILFE EV,"
						     1,099,768
					",134728,Agricultural development,31120,60 months,Mongolia,"
						      750,000
					"
Germany,"
						
						    74 %
					",UG - GTZ - PROVIDING ACCESS TO MODERN ENERGY IN NORTHERN,NATION WIDE (WHERE NWSC OPERATES),DEUTSCHE GESELLSCHAFT FUR TECHN. ZUSAMM. (GTZ),"
						
					",9ACP RPR49 11,Energy policy and administrative management,23010,36 months, ACP Countries,"
						     2,400,000
					"
Germany,"
						
						    66 %
					","¿Más poder para la gente¿ - Participación ciudadana y fomento productivo para la reducción de la pobreza en cuatro comunas rurales de Chile
","Región del bio Bio(Viii) comunas de Negrete, santa bárbara y Alto bío-Bio, región de la araucanía (IX) Comuna de Lonquimay. serán beneficiarios 400 líderes y dirigentes de apox 200 organizaciones sociales; 320 micro, pequeños y medianos empresarios y 13.700 personas involucradas en el mecanismo de participación ciudadana",EVANGELISCHE ZENTRALSTELLE FUR ENTWICKLUNGSHILFE  E.V.,"
						     1,127,780
					",135447,Rural development,43040,48 months,Chile,"
						      749,000
					"
